GCF_003205195.1	Rhizobium wuzhouense
GCF_009380165.1	Rugamonas rivuli
GCF_900114705.1	Rugamonas rubra
GCF_000934545.1	Rugosibacter aromaticivorans
GCF_039543385.1	Rugosimonospora acidiphila
GCF_016862975.1	Rugosimonospora africana
GCF_029952955.1	Ruicaihuangia caeni
GCF_031432425.1	Ruixingdingia sedimenti
GCF_000621505.1	Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
GCF_000022065.1	Ruminiclostridium cellulolyticum H10
GCF_005473905.2	Ruminiclostridium herbifermentans
GCF_002051585.1	Ruminiclostridium hungatei
GCF_000526495.1	Ruminiclostridium josui JCM 17888
GCF_029318685.1	Ruminiclostridium papyrosolvens DSM 2782
GCF_003208175.1	Ruminiclostridium sufflavum DSM 19573
GCF_900115655.1	Ruminobacter amylophilus
GCF_040095935.1	Ruminococcoides intestinale
GCF_040096285.1	Ruminococcoides intestinihominis
GCF_000179635.2	Ruminococcus albus 7 = DSM 20455
GCF_005601135.1	Ruminococcus bovis
GCF_014863965.1	Ruminococcus bromii
GCF_041331195.1	Ruminococcus callidus
GCF_000210095.1	Ruminococcus champanellensis 18P13 = JCM 17042
GCF_016680995.1	Ruminococcus difficilis
GCF_000518765.1	Ruminococcus flavefaciens ATCC 19208
GCF_025151995.1	Ruminococcus gauvreauii
GCF_014287355.1	Ruminococcus hominis
GCF_014288065.1	Ruminococcus intestinalis
GCF_020687545.1	Ruminococcus turbiniformis
GCF_002884495.1	Rummeliibacillus pycnus
GCF_007988965.1	Rummeliibacillus stabekisii
GCF_007896435.1	Rummeliibacillus suwonensis
GCF_003339505.1	Runella aurantiaca
GCF_014195535.1	Runella defluvii
GCF_000482465.1	Runella limosa DSM 17973
GCF_003325355.1	Runella rosea
GCF_024158025.1	Runella salmonicolor
GCF_000218895.1	Runella slithyformis DSM 19594
GCF_000423565.1	Runella zeae DSM 19591
GCF_014049385.1	Ruoffia halotolerans
GCF_042652985.1	Ruoffia tabacinasalis
GCF_039540495.1	Rurimicrobium arvi
GCF_040096265.1	Ruthenibacterium intestinale
GCF_000949455.1	Ruthenibacterium lactatiformans
GCF_017355955.1	Sabulibacter ruber
GCF_026183895.1	Sabulicella glaciei
GCF_017355885.1	Sabulicella rubraurantiaca
GCF_011090185.1	Saccharibacillus alkalitolerans
GCF_006542275.1	Saccharibacillus brassicae
GCF_013618475.1	Saccharibacillus deserti
GCF_014635605.1	Saccharibacillus endophyticus
GCF_000378145.1	Saccharibacillus kuerlensis DSM 22868
GCF_013185195.1	Saccharibacillus qingshengii
GCF_000585395.1	Saccharibacillus sacchari DSM 19268
GCF_000378165.1	Saccharibacter floricola DSM 15669
GCF_947489045.1	Saccharicrinis aurantiacus
GCF_900182605.1	Saccharicrinis carchari
GCF_000517085.1	Saccharicrinis fermentans DSM 9555 = JCM 21142
GCF_003063625.1	Saccharobesus litoralis
GCF_019272935.1	Saccharococcus caldoxylosilyticus
GCF_011761475.1	Saccharococcus thermophilus
GCF_011761185.1	Saccharomonospora amisosensis
GCF_000231055.2	Saccharomonospora azurea NA-128
GCF_000244975.1	Saccharomonospora cyanea NA-134
GCF_000243395.2	Saccharomonospora glauca K62
GCF_000383775.1	Saccharomonospora halophila 8
GCF_000231035.2	Saccharomonospora iraqiensis subsp. paurometabolica YIM 90007
GCF_000244955.1	Saccharomonospora marina XMU15
GCF_005862235.1	Saccharomonospora piscinae
GCF_000383795.1	Saccharomonospora saliphila YIM 90502
GCF_000023865.1	Saccharomonospora viridis DSM 43017
GCF_000258175.1	Saccharomonospora xinjiangensis XJ-54
GCF_000013665.1	Saccharophagus degradans 2-40
GCF_003635025.1	Saccharopolyspora antimicrobica
GCF_004348445.1	Saccharopolyspora aridisoli
GCF_039542665.1	Saccharopolyspora cebuensis
GCF_007829955.1	Saccharopolyspora dendranthemae
GCF_004348985.1	Saccharopolyspora elongata
GCF_018070075.1	Saccharopolyspora endophytica
GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338
GCF_900116135.1	Saccharopolyspora flava
GCF_016526145.1	Saccharopolyspora galaxeae
GCF_014203325.1	Saccharopolyspora gloriosae
GCF_024734405.1	Saccharopolyspora gregorii
GCF_042665275.1	Saccharopolyspora griseoalba
GCF_039531955.1	Saccharopolyspora halophila
GCF_050972075.1	Saccharopolyspora hattusasensis
GCF_008630535.1	Saccharopolyspora hirsuta
GCF_013410345.1	Saccharopolyspora hordei
GCF_027853965.1	Saccharopolyspora indica
GCF_029952525.1	Saccharopolyspora ipomoeae
GCF_004349225.1	Saccharopolyspora karakumensis
GCF_900112555.1	Saccharopolyspora kobensis
GCF_035320975.1	Saccharopolyspora mangrovi
GCF_015209505.1	Saccharopolyspora montiporae
GCF_027853915.1	Saccharopolyspora oryzae
GCF_014203395.1	Saccharopolyspora phatthalungensis
GCF_014697215.1	Saccharopolyspora pogona
GCF_000710755.1	Saccharopolyspora rectivirgula
GCF_003931915.1	Saccharopolyspora rhizosphaerae
GCF_025643595.1	Saccharopolyspora rosea
GCF_900106995.1	Saccharopolyspora shandongensis
GCF_022678645.1	Saccharopolyspora soli
GCF_002846475.1	Saccharopolyspora spinosa
GCF_039534165.1	Saccharopolyspora taberi
GCF_004348435.1	Saccharopolyspora terrae
GCF_039524975.1	Saccharopolyspora thermophila
GCF_004000275.1	Saccharospirillum alexandrii
GCF_000423605.1	Saccharospirillum impatiens DSM 12546
GCF_003367315.1	Saccharospirillum mangrovi
GCF_014651855.1	Saccharospirillum salsuginis
GCF_016907655.1	Saccharothrix algeriensis
GCF_003634935.1	Saccharothrix australiensis
GCF_003014735.1	Saccharothrix carnea
GCF_017876325.1	Saccharothrix coeruleofusca
GCF_009769385.1	Saccharothrix deserti
GCF_014205015.1	Saccharothrix ecbatanensis
GCF_000328705.1	Saccharothrix espanaensis DSM 44229
GCF_042678885.1	Saccharothrix hoggarensis
GCF_031455225.1	Saccharothrix longispora
GCF_042658445.1	Saccharothrix lopnurensis
GCF_020859565.1	Saccharothrix luteola
GCF_039521145.1	Saccharothrix mutabilis subsp. mutabilis
GCF_019375475.1	Saccharothrix obliqua
GCF_006716745.1	Saccharothrix saharensis
GCF_009498035.1	Saccharothrix syringae
GCF_014203665.1	Saccharothrix tamanrassetensis
GCF_003752005.1	Saccharothrix texasensis
GCF_003634995.1	Saccharothrix variisporea
GCF_014203755.1	Saccharothrix violaceirubra
GCF_039527585.1	Saccharothrix xinjiangensis
GCF_030852425.1	Saccharothrix yanglingensis
GCF_963921665.1	Saezia sanguinis
GCF_014196795.1	Sagittula marina
GCF_017813235.1	Sagittula salina
GCF_039724765.1	Sagittula stellata E-37
GCF_003751805.1	Salana multivorans
GCF_001953055.1	Salaquimonas pukyongi
GCF_900113135.1	Salegentibacter agarivorans
GCF_042678405.1	Salegentibacter chungangensis
GCF_900129445.1	Salegentibacter echinorum
GCF_900115145.1	Salegentibacter flavus
GCF_900168045.1	Salegentibacter holothuriorum
GCF_020164555.1	Salegentibacter lacus
GCF_016236975.1	Salegentibacter maritimus
GCF_020310005.1	Salegentibacter mishustinae
GCF_001752425.1	Salegentibacter salarius
GCF_900142975.1	Salegentibacter salegens
GCF_002833365.1	Salegentibacter salinarum
GCF_002078605.1	Salegentibacter sediminis
GCF_020164485.1	Salegentibacter tibetensis
GCF_008806325.1	Salibacter halophilus
GCF_000429685.1	Salibacterium aidingense DSM 18341
GCF_900115625.1	Salibacterium halotolerans
GCF_042684865.1	Salibacterium lacus
GCF_900114715.1	Salibacterium qingdaonense
GCF_030813635.1	Salibacterium salarium
GCF_003129565.1	Salibaculum griseiflavum
GCF_002094885.1	Salibaculum halophilum
GCF_016495725.1	Salicibibacter cibarius
GCF_016495865.1	Salicibibacter cibi
GCF_006740705.1	Salicibibacter halophilus
GCF_003336365.1	Salicibibacter kimchii
GCF_001311825.1	Salidesulfovibrio brasiliensis JCM 12178
GCF_008001235.1	Salidesulfovibrio onnuriiensis
GCF_900107115.1	Salimicrobium album
GCF_900156645.1	Salimicrobium flavidum
GCF_900100295.1	Salimicrobium halophilum
GCF_002295105.1	Salimicrobium humidisoli
GCF_001685435.2	Salimicrobium jeotgali
GCF_900156705.1	Salimicrobium salexigens
GCF_039539445.1	Salinactinospora qingdaonensis
GCF_041514305.1	Salinarimonas chemoclinalis
GCF_014645695.1	Salinarimonas ramus
GCF_000429045.1	Salinarimonas rosea DSM 21201
GCF_008386575.1	Salinarimonas soli
GCF_039522525.1	Salinibacillus aidingensis
GCF_900111405.1	Salinibacillus kushneri
GCF_009649735.1	Salinibacillus xinjiangensis
GCF_002894645.1	Salinibacter altiplanensis
GCF_947077765.1	Salinibacter grassmerensis
GCF_947077775.1	Salinibacter pepae
GCF_003491405.1	Salinibacter ruber
GCF_002797685.1	Salinibacterium amurskyense
GCF_029211225.1	Salinibacterium metalliresistens
GCF_900230175.1	Salinibacterium xinjiangense
GCF_003577475.1	Salinibius halmophilus
GCF_000385175.1	Salinicoccus albus DSM 19776
GCF_038561955.2	Salinicoccus bachuensis
GCF_000330705.1	Salinicoccus carnicancri Crm
GCF_007713705.1	Salinicoccus cyprini
GCF_040544485.1	Salinicoccus halitifaciens
GCF_900114445.1	Salinicoccus halodurans
GCF_009831115.1	Salinicoccus hispanicus
GCF_039538805.1	Salinicoccus jeotgali
GCF_900220995.1	Salinicoccus kekensis
GCF_000712035.1	Salinicoccus luteus DSM 17002
GCF_000819905.1	Salinicoccus roseus
GCF_000986795.1	Salinicoccus sediminis
GCF_042648145.1	Salinicoccus sesuvii
GCF_042652505.1	Salinicoccus siamensis
GCF_003206615.1	Salinicola acroporae
GCF_003206645.1	Salinicola aestuarinus
GCF_023736115.1	Salinicola avicenniae
GCF_008298015.1	Salinicola corii
GCF_003206575.1	Salinicola endophyticus
GCF_003206065.1	Salinicola halimionae
GCF_003206155.1	Salinicola halophilus
GCF_003206695.1	Salinicola halophyticus
GCF_003206045.1	Salinicola lusitanus
GCF_003206715.1	Salinicola peritrichatus
GCF_014652715.1	Salinicola rhizosphaerae
GCF_003206135.1	Salinicola salarius
GCF_003206115.1	Salinicola socius
GCF_003006155.1	Salinicola tamaricis
GCF_900110425.1	Salinihabitans flavidus
GCF_041228405.1	Salinilacustrithrix flava
GCF_900102915.1	Salinimicrobium catena
GCF_042684505.1	Salinimicrobium flavum
GCF_042676025.1	Salinimicrobium gaetbulicola
GCF_014651535.1	Salinimicrobium marinum
GCF_012037645.1	Salinimicrobium oceani
GCF_026241755.1	Salinimicrobium profundisediminis
GCF_020866905.1	Salinimicrobium sediminilitoris
GCF_900215295.1	Salinimicrobium sediminis
GCF_048323655.1	Salinimicrobium soli
GCF_000424665.1	Salinimicrobium terrae DSM 17865
GCF_026109735.1	Salinimicrobium tongyeongense
GCF_000423585.1	Salinimicrobium xinjiangense DSM 19287
GCF_000378185.1	Salinimonas chungwhensis DSM 16280
GCF_006228385.1	Salinimonas iocasae
GCF_005222225.1	Salinimonas lutimaris
GCF_015644725.1	Salinimonas marina
GCF_014750655.1	Salinimonas profundi
GCF_003429285.1	Salinimonas sediminis
GCF_042685645.1	Salininema proteolyticum
GCF_003143555.1	Saliniradius amylolyticus
GCF_900094735.1	Saliniramus fredricksonii
GCF_042643355.1	Salinisphaera aquimarina
GCF_040361215.1	Salinisphaera dokdonensis CL-ES53
GCF_040361195.1	Salinisphaera hydrothermalis EPR70
GCF_003788585.1	Salinisphaera japonica YTM-1
GCF_003788635.1	Salinisphaera orenii MK-B5
GCF_000215955.2	Salinisphaera shabanensis E1L3A
GCF_000507245.1	Salinispira pacifica
GCF_042650105.1	Salinispirillum marinum
GCF_006716065.1	Salinispora arenicola
GCF_000484695.1	Salinispora cortesiana
GCF_000514815.1	Salinispora fenicalii
GCF_000379065.1	Salinispora mooreana
GCF_000383575.1	Salinispora oceanensis
GCF_000378845.1	Salinispora pacifica DSM 45544
GCF_000016425.1	Salinispora tropica CNB-440
GCF_000378825.1	Salinispora vitiensis
GCF_042650125.1	Salinithrix halophila
GCF_001996185.1	Salinivibrio costicola subsp. alcaliphilus
GCF_027286345.1	Salinivibrio kushneri
GCF_027286365.1	Salinivibrio proteolyticus
GCF_001995985.1	Salinivibrio sharmensis
GCF_001996005.1	Salinivibrio siamensis
GCF_000513715.1	Salinivibrio socompensis S35
GCF_001443605.1	Salinivirga cyanobacteriivorans
GCF_002019735.1	Salipaludibacillus agaradhaerens
GCF_900111295.1	Salipaludibacillus aurantiacus
GCF_029891575.1	Salipaludibacillus daqingensis
GCF_003226325.1	Salipaludibacillus keqinensis
GCF_002886185.1	Salipaludibacillus neizhouensis
GCF_001975705.1	Salipiger abyssi
GCF_008930655.1	Salipiger aestuarii
GCF_017309175.1	Salipiger bermudensis
GCF_015223355.1	Salipiger mangrovisoli
GCF_035481585.1	Salipiger marinus
GCF_000442255.1	Salipiger mucosus DSM 16094
GCF_014643635.1	Salipiger pallidus
GCF_024721115.1	Salipiger pentaromativorans
GCF_001969385.1	Salipiger profundus
GCF_900102075.1	Salipiger thiooxidans
GCF_014207435.1	Salirhabdus euzebyi
GCF_024259515.1	Salirhabdus salicampi
GCF_000419585.1	Salisaeta longa DSM 21114
GCF_001721685.1	Salisediminibacterium beveridgei
GCF_003814815.1	Salisediminibacterium halotolerans
GCF_003337485.1	Saliterribacillus persicus
GCF_000252995.1	Salmonella bongori NCTC 12419
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
GCF_009296315.1	Salmonirosea aquatica
GCF_019798055.1	Salsipaludibacter albus
GCF_003014715.1	Salsuginibacillus halophilus
GCF_000377705.1	Salsuginibacillus kocurii DSM 18087
GCF_007751475.1	Saltatorellus ferox
GCF_004342665.1	Samsonia erythrinae
GCF_006385875.1	Sandaracinobacter neustonicus
GCF_016464365.1	Sandaracinobacteroides hominis
GCF_014117445.1	Sandaracinobacteroides saxicola
GCF_022014495.1	Sandaracinobacteroides sayramensis
GCF_004005965.1	Sandaracinomonas limnophila
GCF_000737325.1	Sandaracinus amylolyticus
GCF_002251755.1	Sandarakinorhabdus cyanobacteriorum
GCF_000420765.1	Sandarakinorhabdus limnophila DSM 17366
GCF_009733735.1	Sandarakinorhabdus oryzae
GCF_010994245.1	Sandarakinorhabdus rubra
GCF_910574005.1	Sangeribacter muris
GCF_002564005.1	Sanguibacter antarcticus
GCF_033798665.1	Sanguibacter biliveldensis
GCF_900096585.1	Sanguibacter gelidistatuariae
GCF_012396185.1	Sanguibacter hominis ATCC BAA-789
GCF_013415325.1	Sanguibacter inulinus
GCF_000024925.1	Sanguibacter keddieii DSM 10542
GCF_900240335.1	Sanguibacter massiliensis
GCF_016342785.1	Sanguibacter suaedae
GCF_001552735.1	Sanguibacter suarezii NBRC 16159
GCF_003204205.1	Sanguibacteroides justesenii
GCF_009711465.1	Sansalvadorimonas verongulae
GCF_030845195.1	Sanyastnella coralliicola
GCF_011927795.1	Saonia flava
GCF_004358105.1	Sapientia aquatica
GCF_000250635.1	Saprospira grandis str. Lewin
GCF_900456775.1	Sarcina ventriculi
GCF_042675605.1	Savagea faecisuis
GCF_015351395.1	Savagea serpentis
GCF_025787225.1	Saxibacter everestensis
GCF_003935895.2	Scandinavium goeteborgense
GCF_024764835.1	Scandinavium hiltneri
GCF_033843265.1	Scandinavium lactucae
GCF_024764775.1	Scandinavium manionii
GCF_024764965.1	Scandinavium tedordense
GCF_001042695.1	Scardovia inopinata JCM 12537
GCF_042675805.1	Scardovia wiggsiae
GCF_900197595.1	Scatolibacter rhodanostii
GCF_003858455.1	Schaalia canis
GCF_005886435.1	Schaalia cardiffensis F0333
GCF_000154225.1	Schaalia dentiphila ATCC 17982
GCF_000429245.1	Schaalia georgiae DSM 6843
GCF_022786785.1	Schaalia hyovaginalis
GCF_016127995.1	Schaalia meyeri
GCF_042665795.1	Schaalia naturae
GCF_031191545.1	Schaalia odontolytica
GCF_900106055.1	Schaalia radingae
GCF_000429105.1	Schaalia suimastitidis DSM 15538
GCF_000296505.1	Schaalia turicensis ACS-279-V-Col4
GCF_000420425.1	Schaalia vaccimaxillae DSM 15804
GCF_003885045.1	Schaedlerella arabinosiphila
GCF_009866805.1	Schauerella aestuarii
GCF_035811335.1	Schinkia azotoformans
GCF_003337435.1	Schleiferia thermophila
GCF_008694105.1	Schleiferilactobacillus harbinensis
GCF_001435585.1	Schleiferilactobacillus perolens DSM 12744
GCF_000469325.1	Schleiferilactobacillus shenzhenensis LY-73
GCF_000255655.1	Schlesneria paludicola DSM 18645
GCF_013408685.1	Schumannella luteola
GCF_006517435.1	Schumannella soli
GCF_900129225.1	Schwartzia succinivorans DSM 10502
GCF_000379465.1	Sciscionella marina DSM 45152
GCF_000737195.2	Sciscionella sediminilitoris
GCF_023231945.1	Scleromatobacter humisilvae
GCF_042665295.1	Scopulibacillus cellulosilyticus
GCF_016908855.1	Scopulibacillus daqui
GCF_004341035.1	Scopulibacillus darangshiensis
GCF_040256745.1	Scrofimicrobium appendicitidis
GCF_009696615.1	Scrofimicrobium canadense
GCF_000346485.2	Scytonema hofmannii PCC 7110
GCF_000817735.3	Scytonema millei VB511283
GCF_045950415.1	Scytonema tolypothrichoides VB-61278_2
GCF_000024405.1	Sebaldella termitidis ATCC 33386
GCF_000287335.1	secondary endosymbiont_of_Ctenarytaina eucalypti
GCF_000287355.1	secondary endosymbiont_of_Heteropsylla cubana
GCF_900090215.1	secondary endosymbiont_of_Trabutina mannipara
GCF_012641075.1	Secundilactobacillus angelensis
GCF_001435975.1	Secundilactobacillus collinoides DSM 20515 = JCM 1123
GCF_009720675.1	Secundilactobacillus folii
GCF_005405185.1	Secundilactobacillus hailunensis
GCF_001433995.1	Secundilactobacillus kimchicus JCM 15530
GCF_008033155.1	Secundilactobacillus malefermentans
GCF_002217925.1	Secundilactobacillus mixtipabuli
GCF_001434895.1	Secundilactobacillus odoratitofui DSM 19909 = JCM 15043
GCF_000740055.1	Secundilactobacillus oryzae JCM 18671
GCF_001702155.1	Secundilactobacillus paracollinoides
GCF_002217985.1	Secundilactobacillus pentosiphilus
GCF_004354595.1	Secundilactobacillus silagei JCM 19001
GCF_002583405.1	Secundilactobacillus silagincola
GCF_001436595.1	Secundilactobacillus similis DSM 23365 = JCM 2765
GCF_016861565.1	Secundilactobacillus yichangensis
GCF_017873955.1	Sedimentibacter acidaminivorans
GCF_013403245.1	Sedimentibacter hydroxybenzoicus DSM 7310
GCF_007830175.1	Sedimentibacter saalensis
GCF_025175675.1	Sedimenticola hydrogenitrophicus
GCF_963675335.2	Sedimenticola selenatireducens
GCF_001007875.1	Sedimenticola thiotaurini
GCF_025154035.1	Sedimentimonas flavescens
GCF_001997385.1	Sedimentisphaera cyanobacteriorum
GCF_002117005.1	Sedimentisphaera salicampi
GCF_016428585.1	Sedimentitalea arenosa
GCF_000473225.1	Sedimentitalea nanhaiensis DSM 24252
GCF_032595355.1	Sedimentitalea todarodis
GCF_030164465.1	Sedimentitalea xiamensis
GCF_900101125.1	Sediminibacillus albus
GCF_017792025.1	Sediminibacillus dalangtanensis
GCF_900103695.1	Sediminibacillus halophilus
GCF_900156915.1	Sediminibacillus massiliensis
GCF_009602435.1	Sediminibacillus terrae
GCF_900167075.1	Sediminibacterium ginsengisoli
GCF_004361915.1	Sediminibacterium goheungense
GCF_009939005.1	Sediminibacterium roseum
GCF_000511175.1	Sediminibacterium salmoneum NBRC 103935
GCF_009939225.1	Sediminibacterium soli
GCF_033547095.1	Sediminicoccus rosea
GCF_040566695.1	Sediminicola arcticus
GCF_002514735.1	Sediminicola luteus
GCF_016863455.1	Sediminihabitans luteus
GCF_014077625.1	Sediminihaliea albiluteola
GCF_000423645.1	Sediminimonas qiaohouensis DSM 21189
GCF_000378205.1	Sediminispirochaeta bajacaliforniensis DSM 16054
GCF_000143985.1	Sediminispirochaeta smaragdinae DSM 11293
GCF_003149185.1	Sediminitomix flava
GCF_014639315.1	Sediminivirga luteola
GCF_000426565.1	Segatella albensis DSM 11370 = JCM 12258
GCF_000426585.1	Segatella baroniae DSM 16972 = JCM 13447
GCF_022024215.1	Segatella bryantii
GCF_000184945.1	Segatella buccae ATCC 33574
GCF_024054555.1	Segatella cerevisiae
GCF_020735445.1	Segatella copri DSM 18205
GCF_004535825.1	Segatella hominis
GCF_000243015.1	Segatella maculosa OT 289
GCF_900637655.1	Segatella oris
GCF_000224615.1	Segatella oulorum F0390
GCF_000373185.1	Segatella paludivivens DSM 17968 = JCM 13650
GCF_000477535.1	Segatella salivae F0493
GCF_040095255.1	Segatella sinensis
GCF_007991655.1	Segetibacter aerophilus
GCF_000374045.1	Segetibacter koreensis DSM 18137
GCF_005222685.1	Segeticoccus rhizosphaerae
GCF_000092825.1	Segniliparus rotundus DSM 44985
GCF_000185725.2	Segniliparus rugosus ATCC BAA-974
GCF_009600605.1	Segnochrobactrum spirostomi
GCF_900129355.1	Seinonella peptonophila
GCF_900167185.1	Selenihalanaerobacter shriftii
GCF_007827295.1	Seleniivibrio woodruffii
GCF_030273445.1	Selenobaculum gibii
GCF_000426665.1	Selenomonas artemidis DSM 19719
GCF_000381005.1	Selenomonas bovis DSM 23594
GCF_008271345.1	Selenomonas caprae
GCF_030644225.1	Selenomonas dianae
GCF_900186465.1	Selenomonas felix
GCF_000160695.1	Selenomonas flueggei ATCC 43531
GCF_000234095.1	Selenomonas infelix ATCC 43532
GCF_900290285.1	Selenomonas massiliensis
GCF_009697385.1	Selenomonas montiformis
GCF_000160555.1	Selenomonas noxia ATCC 43541
GCF_000424065.1	Selenomonas ruminantium subsp. ruminantium ATCC 12561
GCF_008271295.1	Selenomonas ruminis
GCF_000208405.1	Selenomonas sputigena ATCC 35185
GCF_014250475.1	Selenomonas timonae
GCF_045038405.1	Sellimonas caecigallum
GCF_027924685.1	Sellimonas catena
GCF_045061075.1	Sellimonas intestinalis
GCF_042675725.1	Seminibacterium arietis
GCF_900626135.1	Senegalia massiliensis
GCF_000236865.1	Senegalimassilia anaerobia JC110
GCF_004135645.1	Senegalimassilia faecalis
GCF_943192965.1	Senimuribacter intestinalis
GCF_042654245.1	Seohaeicola nanhaiensis
GCF_042678485.1	Seohaeicola saemankumensis
GCF_014656415.1	Seohaeicola zhoushanensis
GCF_007997385.1	Seonamhaeicola algicola
GCF_003386195.1	Seonamhaeicola aphaedonensis
GCF_008085455.1	Seonamhaeicola marinus
GCF_008056315.1	Seonamhaeicola maritimus
GCF_004358095.2	Seonamhaeicola sediminis
GCF_003457605.1	Seongchinamella sediminis
GCF_004354085.1	Seongchinamella unica
GCF_004138125.1	Seramator thermalis
GCF_004786095.1	Serinibacter arcticus
GCF_002563925.1	Serinibacter salmoneus
GCF_006337125.1	Serinicoccus chungangensis
GCF_001685415.1	Serinicoccus hydrothermalis
