GCF_014879975.1	Vibrio bathopelagicus
GCF_964026725.1	Wolbachia endosymbiont (group B) of Germaria angustata
GCF_964028355.1	Wolbachia endosymbiont (group B) of Gerris lacustris
GCF_964028515.1	Wolbachia endosymbiont (group B) of Hofmannophila pseudospretella
GCF_964028625.1	Wolbachia endosymbiont (group B) of Horisme vitalbata
GCF_947251975.1	Wolbachia endosymbiont (group B) of Hylaea fasciaria
GCF_947179535.1	Wolbachia endosymbiont (group B) of Idaea aversata
GCF_964026785.1	Wolbachia endosymbiont (group B) of Idaea biselata
GCF_947251585.1	Wolbachia endosymbiont (group B) of Ischnura elegans
GCF_947179455.1	Wolbachia endosymbiont (group B) of Leptidea sinapis
GCF_964263235.1	Wolbachia endosymbiont (group B) of Limnophora tigrina
GCF_964028135.1	Wolbachia endosymbiont (group B) of Longitarsus flavicornis
GCF_947251875.1	Wolbachia endosymbiont (group B) of Lycaena phlaeas
GCF_964030625.1	Wolbachia endosymbiont (group B) of Melanargia galathea
GCF_947251465.1	Wolbachia endosymbiont (group B) of Melanostoma mellinum
GCF_964277435.1	Wolbachia endosymbiont (group B) of Myelois circumvoluta
GCF_947250465.1	Wolbachia endosymbiont (group B) of Nymphalis c-album
GCF_947179425.1	Wolbachia endosymbiont (group B) of Ochlodes sylvanus
GCF_965178645.1	Wolbachia endosymbiont (group B) of Orgyia antiqua
GCF_947251495.1	Wolbachia endosymbiont (group B) of Pammene fasciana
GCF_947179145.1	Wolbachia endosymbiont (group B) of Pandemis cinnamomeana
GCF_947250555.1	Wolbachia endosymbiont (group B) of Pandemis corylana
GCF_947250635.1	Wolbachia endosymbiont (group B) of Parapoynx stratiotata
GCF_947250725.1	Wolbachia endosymbiont (group B) of Pararge aegeria
GCF_947251625.1	Wolbachia endosymbiont (group B) of Phalera bucephala
GCF_964027035.1	Wolbachia endosymbiont (group B) of Phasia obesa
GCF_947251655.1	Wolbachia endosymbiont (group B) of Pheosia tremula
GCF_947179345.1	Wolbachia endosymbiont (group B) of Philonthus cognatus
GCF_964028155.1	Wolbachia endosymbiont (group B) of Pilophorus perplexus
GCF_947250745.1	Wolbachia endosymbiont (group B) of Polyommatus icarus
GCF_947251865.1	Wolbachia endosymbiont (group B) of Protocalliphora azurea
GCF_947250605.1	Wolbachia endosymbiont (group B) of Pyrgus malvae
GCF_947250615.1	Wolbachia endosymbiont (group B) of Rhopobota naevana
GCF_964031005.1	Wolbachia endosymbiont (group B) of Schoenobius gigantella
GCF_964188425.1	Wolbachia endosymbiont (group B) of Scrobipalpa ocellatella
GCF_964028615.1	Wolbachia endosymbiont (group B) of Silvanus unidentatus
GCF_947179355.1	Wolbachia endosymbiont (group B) of Sphaerophoria taeniata
GCF_964028405.1	Wolbachia endosymbiont (group B) of Tholera decimalis
GCF_947251505.1	Wolbachia endosymbiont (group B) of Thymelicus sylvestris
GCF_964028225.1	Wolbachia endosymbiont (group B) of Udea ferrugalis
GCF_964028285.1	Wolbachia endosymbiont (group B) of Villa cingulata
GCF_947250655.1	Wolbachia endosymbiont (group B) of Watsonalla binaria
GCF_964028585.1	Wolbachia endosymbiont (group B) of Xanthorhoe designata
GCF_947250675.1	Wolbachia endosymbiont (group B) of Xestia c-nigrum
GCF_964028205.1	Wolbachia endosymbiont (group B) of Xylocampa areola
GCF_964026795.1	Wolbachia endosymbiont (group B) of Yponomeuta malinellus
GCF_964026735.1	Wolbachia endosymbiont (group E) of Neria commutata
GCF_017896245.1	Wolbachia endosymbiont_of_Aedes aegypti
GCF_024804185.1	Wolbachia endosymbiont_of_Aedes albopictus
GCF_018491735.2	Wolbachia endosymbiont_of_Anopheles demeilloni
GCF_042182995.1	Wolbachia endosymbiont_of_Anurida maritima
GCF_040207875.1	Wolbachia endosymbiont_of_Armadillidium arcangelii
GCF_001027565.1	Wolbachia endosymbiont_of_Armadillidium vulgare str. wVulC
GCF_013309895.1	Wolbachia endosymbiont_of_Atemnus politus
GCF_003999585.1	Wolbachia endosymbiont_of_Bemisia tabaci
GCF_012030695.1	Wolbachia endosymbiont_of_Brugia pahangi
GCF_964277405.1	Wolbachia endosymbiont_of_Cantharis cryptica
GCF_902713635.1	Wolbachia endosymbiont_of_Cardiocondyla obscurior
GCF_006542295.1	Wolbachia endosymbiont_of_Carposina sasakii
GCF_018454455.1	Wolbachia endosymbiont_of_Ceratitis capitata
GCF_017869155.1	Wolbachia endosymbiont_of_Ceratosolen solmsi
GCF_918315375.1	Wolbachia endosymbiont_of_Chironomus riparius
GCF_008245065.1	Wolbachia endosymbiont_of_Chrysomya megacephala
GCF_000829315.1	Wolbachia endosymbiont_of_Cimex lectularius
GCF_020995475.1	Wolbachia endosymbiont_of_Corcyra cephalonica
GCF_013365475.1	Wolbachia endosymbiont_of_Cruorifilaria tuberocauda
GCF_012277315.1	Wolbachia endosymbiont_of_Ctenocephalides felis wCfeJ
GCF_012277295.1	Wolbachia endosymbiont_of_Ctenocephalides felis wCfeT
GCF_000073005.1	Wolbachia endosymbiont_of_Culex quinquefasciatus Pel
GCF_003344345.1	Wolbachia endosymbiont_of_Cylisticus convexus
GCF_021609905.1	Wolbachia endosymbiont_of_Delia radicum
GCF_013458815.1	Wolbachia endosymbiont_of_Diaphorina citri
GCF_013365495.1	Wolbachia endosymbiont_of_Dipetalonema caudispina
GCF_013365455.1	Wolbachia endosymbiont_of_Dirofilaria (Dirofilaria) immitis
GCF_032848195.1	Wolbachia endosymbiont_of_Drosophila aff. chauvacae BK-2020
GCF_008033215.1	Wolbachia endosymbiont_of_Drosophila ananassae
GCF_017916175.1	Wolbachia endosymbiont_of_Drosophila auraria
GCF_028982185.1	Wolbachia endosymbiont_of_Drosophila baimaii
GCF_044752445.1	Wolbachia endosymbiont_of_Drosophila barbarae
GCF_028982105.1	Wolbachia endosymbiont_of_Drosophila bicornuta
GCF_028982005.1	Wolbachia endosymbiont_of_Drosophila bocki
GCF_032584155.1	Wolbachia endosymbiont_of_Drosophila bocqueti
GCF_028981925.1	Wolbachia endosymbiont_of_Drosophila burlai
GCF_001758565.1	Wolbachia endosymbiont_of_Drosophila incompta
GCF_021378375.1	Wolbachia endosymbiont_of_Drosophila innubila
GCF_028981785.1	Wolbachia endosymbiont_of_Drosophila leontia
GCF_004795975.1	Wolbachia endosymbiont_of_Drosophila mauritiana
GCF_016584425.1	Wolbachia endosymbiont_of_Drosophila melanogaster
GCF_028981865.1	Wolbachia endosymbiont_of_Drosophila nikananu
GCF_026015925.1	Wolbachia endosymbiont_of_Drosophila pseudotakahashii
GCF_018467135.1	Wolbachia endosymbiont_of_Drosophila santomea
GCF_014354315.1	Wolbachia endosymbiont_of_Drosophila sechellia
GCF_028981765.1	Wolbachia endosymbiont_of_Drosophila seguyi
GCF_000376605.1	Wolbachia endosymbiont_of_Drosophila simulans wHa
GCF_002300525.1	Wolbachia endosymbiont_of_Drosophila subpulchrella
GCF_005862135.1	Wolbachia endosymbiont_of_Drosophila teissieri
GCF_028981745.1	Wolbachia endosymbiont_of_Drosophila tristis
GCF_028982115.1	Wolbachia endosymbiont_of_Drosophila tsacasi
GCF_040084705.1	Wolbachia endosymbiont_of_Drosophila willistoni
GCF_018467115.1	Wolbachia endosymbiont_of_Drosophila yakuba
GCF_039540065.1	Wolbachia endosymbiont_of_Encarsia formosa
GCF_018555315.1	Wolbachia endosymbiont_of_Erebia cassioides
GCF_001931755.2	Wolbachia endosymbiont_of_Folsomia candida
GCF_029856955.1	Wolbachia endosymbiont_of_Frankliniella intonsa
GCF_000689175.1	Wolbachia endosymbiont_of_Glossina morsitans morsitans
GCF_025021925.1	Wolbachia endosymbiont_of_Howardula sp.
GCF_016031645.1	Wolbachia endosymbiont_of_Kradibia gibbosae
GCF_007115015.1	Wolbachia endosymbiont_of_Laodelphax striatellus
GCF_006334525.1	Wolbachia endosymbiont_of_Leptopilina clavipes
GCF_042928915.1	Wolbachia endosymbiont_of_Liriomyza huidobrensis
GCF_031205055.1	Wolbachia endosymbiont_of_Listronotus oregonensis
GCF_013366805.1	Wolbachia endosymbiont_of_Litomosoides brasiliensis
GCF_013365435.1	Wolbachia endosymbiont_of_Litomosoides sigmodontis
GCF_013366855.1	Wolbachia endosymbiont_of_Madathamugadia hiepei
GCF_020278625.1	Wolbachia endosymbiont_of_Mansonella ozzardi
GCF_020278605.1	Wolbachia endosymbiont_of_Mansonella perstans
GCF_000174095.1	Wolbachia endosymbiont_of_Muscidifurax uniraptor
GCF_048054155.1	Wolbachia endosymbiont_of_Nasonia giraulti
GCF_009012935.1	Wolbachia endosymbiont_of_Nasonia oneida
GCF_048054115.1	Wolbachia endosymbiont_of_Nasonia vitripennis
GCF_007115045.1	Wolbachia endosymbiont_of_Nilaparvata lugens
GCF_001675785.1	Wolbachia endosymbiont_of_Nomada ferruginata
GCF_001675695.1	Wolbachia endosymbiont_of_Nomada flava
GCF_001675715.1	Wolbachia endosymbiont_of_Nomada leucophthalma
GCF_001675775.1	Wolbachia endosymbiont_of_Nomada panzeri
GCF_936270145.1	Wolbachia endosymbiont_of_Oedothorax gibbosus
GCF_029169405.1	Wolbachia endosymbiont_of_Onchocerca gibsoni
GCF_000306885.1	Wolbachia endosymbiont_of_Onchocerca ochengi
GCF_000530755.1	Wolbachia endosymbiont_of_Onchocerca volvulus str. Cameroon
GCF_001266585.1	Wolbachia endosymbiont_of_Operophtera brumata
GCF_025617515.1	Wolbachia endosymbiont_of_Oryzaephilus surinamensis
GCF_023559125.1	Wolbachia endosymbiont_of_Ostrinia furnacalis
GCF_023559145.1	Wolbachia endosymbiont_of_Ostrinia scapulalis
GCF_014534705.1	Wolbachia endosymbiont_of_Pentalonia nigronervosa
GCF_036711655.1	Wolbachia endosymbiont_of_Pentidionis agamae
GCF_918697765.1	Wolbachia endosymbiont_of_Phyllotreta cruciferae
GCF_918342435.1	Wolbachia endosymbiont_of_Psylliodes chrysocephala
GCF_018454475.1	Wolbachia endosymbiont_of_Rhagoletis cerasi
GCF_048537655.1	Wolbachia endosymbiont_of_Rhagoletis cingulata
GCF_048537595.1	Wolbachia endosymbiont_of_Rhagoletis indifferens
GCF_032584115.1	Wolbachia endosymbiont_of_Scaptomyza pallida
GCF_018141665.1	Wolbachia endosymbiont_of_Spodoptera picta
GCF_046529255.1	Wolbachia endosymbiont_of_Tetranychus urticae
GCF_041154185.1	Wolbachia endosymbiont_of_Tettigetta isshikii
GCF_020405475.1	Wolbachia endosymbiont_of_Tribolium confusum
GCF_045765165.1	Wolbachia endosymbiont_of_Trichogramma kaykai
GCF_001439985.1	Wolbachia endosymbiont_of_Trichogramma pretiosum
GCF_017869285.1	Wolbachia endosymbiont_of_Wiebesia pumilae
GCF_002204235.2	Wolbachia endosymbiont_of_Wuchereria bancrofti
GCF_033042245.1	Wolbachia endosymbiont_of_Zaprionus taronus
GCF_032849005.1	Wolbachia endosymbiont_of_Zaprionus tsacasi
GCF_051130665.1	Wolbachia endosymbiont_of_Zygogramma bicolorata
GCF_000333795.1	Wolbachia endosymbiont str. valsugana of Drosophila suzukii
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi
GCF_000723225.2	Wolbachia endosymbiont wPip_Mol of Culex molestus
GCF_007971685.1	Wolbachia pipientis
GCF_900637325.1	Wolinella succinogenes
GCF_000382325.1	Woodsholea maritima DSM 17123
GCF_014337155.1	Wujia chipingensis
GCF_050888315.1	Wukongibacter baidiensis
GCF_030814935.1	Xanthobacter agilis
GCF_023571765.1	Xanthobacter aminoxidans
GCF_005871085.1	Xanthobacter autotrophicus
GCF_016807805.1	Xanthobacter dioxanivorans
GCF_027925205.1	Xanthobacter flavus
GCF_008364685.1	Xanthobacter oligotrophicus
GCF_014206845.1	Xanthobacter tagetidis
GCF_030068605.1	Xanthocytophaga agilis
GCF_030068545.1	Xanthocytophaga flava
GCF_000348685.1	Xanthomarina gelatinilytica
GCF_003148645.1	Xanthomarina spongicola
GCF_009931595.1	Xanthomonas albilineans
GCF_905367715.1	Xanthomonas arboricola pv. juglandis
GCF_041519315.1	Xanthomonas axonopodis pv. maculifoliigardeniae
GCF_014836395.1	Xanthomonas bonasiae
GCF_900092025.1	Xanthomonas bromi
GCF_041240605.1	Xanthomonas bundabergensis
GCF_013388375.1	Xanthomonas campestris pv. raphani
GCF_040616535.1	Xanthomonas cannabis
GCF_000454545.1	Xanthomonas cassavae CFBP 4642
GCF_021906995.1	Xanthomonas cerealis pv. cerealis
GCF_026107455.2	Xanthomonas chitinilytica
GCF_002019225.1	Xanthomonas cissicola
GCF_000961215.1	Xanthomonas citri pv. citri
GCF_002939785.1	Xanthomonas codiaei
GCF_009883735.1	Xanthomonas cucurbitae
GCF_032698475.1	Xanthomonas dyei
GCF_903989455.1	Xanthomonas euroxanthea
GCF_017724035.1	Xanthomonas euvesicatoria pv. alfalfae
GCF_001642575.1	Xanthomonas floridensis
GCF_900183975.1	Xanthomonas fragariae
GCF_030168915.1	Xanthomonas graminis pv. graminis
GCF_031834635.1	Xanthomonas hawaiiensis
GCF_002285515.1	Xanthomonas hortorum
GCF_009769165.1	Xanthomonas hyacinthi
GCF_032697525.1	Xanthomonas hydrangeae
GCF_040529045.1	Xanthomonas indica
GCF_009192945.1	Xanthomonas maliensis
GCF_900018785.1	Xanthomonas massiliensis
GCF_041242975.1	Xanthomonas medicagonis
GCF_020783655.1	Xanthomonas melonis
GCF_023337365.3	Xanthomonas nasturtii
GCF_008370835.2	Xanthomonas oryzae pv. oryzicola
GCF_013112235.1	Xanthomonas perforans
GCF_008639345.1	Xanthomonas phaseoli pv. dieffenbachiae
GCF_002940045.1	Xanthomonas pisi
GCF_002940065.1	Xanthomonas populi
GCF_038442435.1	Xanthomonas protegens
GCF_025266575.1	Xanthomonas prunicola
GCF_033170385.1	Xanthomonas rydalmerensis
GCF_040529065.1	Xanthomonas sacchari
GCF_040529055.1	Xanthomonas sontii
GCF_041245805.1	Xanthomonas tesorieronis
GCF_014236795.1	Xanthomonas theicola
GCF_017301775.1	Xanthomonas translucens pv. undulosa
GCF_000277895.2	Xanthomonas vasicola pv. musacearum NCPPB 4379
GCF_001908725.1	Xanthomonas vesicatoria ATCC 35937
GCF_009711365.1	Xanthovirga aplysinae
GCF_900109605.1	Xaviernesmea oryzae
GCF_002078095.1	Xaviernesmea rhizosphaerae
GCF_028023875.1	Xenophilus arseniciresistens
GCF_000745855.1	Xenophilus azovorans DSM 13620
GCF_028598775.1	Xenorhabdus aichiensis
GCF_028598555.1	Xenorhabdus anantnagensis
GCF_030272115.1	Xenorhabdus bakwenae
GCF_002127545.1	Xenorhabdus beddingii
GCF_037996705.1	Xenorhabdus bharatensis
GCF_024316195.1	Xenorhabdus bovienii subsp. africana
GCF_017743015.1	Xenorhabdus budapestensis
GCF_003386665.1	Xenorhabdus cabanillasii
GCF_000968195.1	Xenorhabdus doucetiae
GCF_001908105.1	Xenorhabdus eapokensis
GCF_003610465.1	Xenorhabdus ehlersii
GCF_037996725.1	Xenorhabdus entomophaga
GCF_030016155.2	Xenorhabdus griffiniae
GCF_001721185.1	Xenorhabdus hominickii
GCF_014467235.1	Xenorhabdus indica
GCF_002632485.1	Xenorhabdus innexi
GCF_002632755.1	Xenorhabdus ishibashii
GCF_900115195.1	Xenorhabdus japonica
GCF_028598485.1	Xenorhabdus khoisanae
GCF_900116635.1	Xenorhabdus koppenhoeferi
GCF_002632875.1	Xenorhabdus kozodoii
GCF_016306625.1	Xenorhabdus lircayensis
GCF_033949345.1	Xenorhabdus littoralis
GCF_900113945.1	Xenorhabdus mauleonii
GCF_002632615.1	Xenorhabdus miraniensis
GCF_000252955.1	Xenorhabdus nematophila ATCC 19061
GCF_000968175.1	Xenorhabdus poinarii G6
GCF_033949405.1	Xenorhabdus santafensis
GCF_037996745.1	Xenorhabdus siamensis
GCF_002632825.1	Xenorhabdus stockiae
GCF_002632595.1	Xenorhabdus szentirmaii
GCF_036512875.1	Xenorhabdus taiwanensis
GCF_037996785.1	Xenorhabdus thailandensis
GCF_001908095.1	Xenorhabdus thuongxuanensis
GCF_002127535.1	Xenorhabdus vietnamensis
GCF_028598805.1	Xenorhabdus yunnanensis
GCF_017945865.1	Xiamenia xianingshaonis
GCF_023674465.1	Xiashengella succiniciproducens
GCF_020179405.1	Xinfangfangia pollutisoli
GCF_018403685.1	Xylanibacillus composti
GCF_000621825.1	Xylanibacter brevis P6B11
GCF_013166515.1	Xylanibacter caecicola
GCF_013166605.1	Xylanibacter muris
GCF_000585355.1	Xylanibacter oryzae DSM 17970
GCF_001275135.1	Xylanibacter rarus
GCF_013166575.1	Xylanibacter rodentium
GCF_000025925.1	Xylanibacter ruminicola 23
GCF_004135345.1	Xylanimonas allomyrinae
GCF_000024965.1	Xylanimonas cellulosilytica DSM 15894
GCF_003244315.1	Xylanimonas oleitrophica
GCF_004135385.1	Xylanimonas protaetiae
GCF_004216535.1	Xylanimonas ulmi
GCF_004138105.1	Xylanivirga thermophila
GCF_028891345.1	Xylella fastidiosa
GCF_013177435.1	Xylella taiwanensis
GCF_033095985.1	Xylocopilactobacillus apicola
GCF_033095965.1	Xylocopilactobacillus apis
GCF_003217575.1	Xylophilus ampelinus
GCF_009906855.1	Xylophilus rhododendri
GCF_030733815.1	Yanghanlia caeni
GCF_039529295.1	Yaniella flava
GCF_000420805.1	Yaniella halotolerans DSM 15476
GCF_014385025.1	Yanshouia hominis
GCF_014384705.1	Yeguia hominis
GCF_014646655.1	Yeosuana aromativorans
GCF_011762485.1	Yeosuana marina
GCF_000834395.1	Yersinia aldovae 670-83
GCF_001319845.1	Yersinia aleksiciae
GCF_025133195.1	Yersinia alsatica
GCF_902726525.1	Yersinia artesiana
GCF_037060685.1	Yersinia bercovieri
GCF_009831415.1	Yersinia canariae
GCF_000253175.1	Yersinia enterocolitica subsp. palearctica Y11
GCF_001656035.1	Yersinia entomophaga
GCF_000754805.1	Yersinia frederiksenii ATCC 33641
GCF_004124235.1	Yersinia hibernica
GCF_009730055.1	Yersinia intermedia
GCF_900460525.1	Yersinia kristensenii
GCF_000312485.1	Yersinia massiliensis CCUG 53443
GCF_013282725.1	Yersinia mollaretii ATCC 43969
GCF_001112925.1	Yersinia nurmii
GCF_001152565.1	Yersinia pekkanenii
GCF_000222975.1	Yersinia pestis A1122
GCF_902170785.1	Yersinia proxima
GCF_900637475.1	Yersinia pseudotuberculosis
GCF_003600645.1	Yersinia rochesterensis
GCF_000834455.1	Yersinia rohdei
GCF_017498685.1	Yersinia ruckeri
GCF_000582515.1	Yersinia similis
GCF_902170565.1	Yersinia thracica
GCF_044905075.1	Yersinia vastinensis
GCF_006715095.1	Yimella lutea
GCF_039542225.1	Yinghuangia aomiensis
GCF_029953285.1	Yinghuangia seranimata
GCF_021502675.1	Yinghuangia soli
GCF_003634235.1	Yokenella regensburgei
GCF_038443675.1	Yoonia algicola
GCF_900114675.1	Yoonia litorea
GCF_002797915.1	Yoonia maricola
GCF_003003285.1	Yoonia maritima
GCF_038069655.2	Yoonia phaeophyticola
GCF_014199395.1	Yoonia ponticola
GCF_038443705.2	Yoonia rhodophyticola
GCF_900156505.1	Yoonia rosea
GCF_003058085.1	Yoonia sediminilitoris
GCF_900115105.1	Yoonia tamlensis
GCF_000382265.1	Yoonia vestfoldensis DSM 16212
GCF_000495435.3	Youngiibacter fragilis 232.1
GCF_017873395.1	Youngiibacter multivorans
GCF_014385085.1	Youxingia wuxianensis
GCF_037658235.1	Yunchengibacter salinarum
GCF_008580665.1	Zafaria cholistanensis
GCF_015207075.1	Zarconia navalis LEGE 11467
GCF_000255705.1	Zavarzinella formosa DSM 19928
GCF_003173035.1	Zavarzinia aquatilis
GCF_003173055.1	Zavarzinia compransoris
GCF_021568905.1	Zavarzinia marina
GCF_004362865.1	Zeaxanthinibacter enoshimensis
GCF_008039575.1	Zeimonas arvi
GCF_023721795.1	Zeimonas sediminis
GCF_004614185.1	Zemynaea arenosa
GCF_904061905.1	Zestomonas carbonaria
GCF_016901015.1	Zestomonas insulae
GCF_004353525.1	Zhaonella formicivorans
GCF_002727065.1	Zhengella mangrovi
GCF_014384995.1	Zhenhengia yiwuensis
GCF_014333425.1	Zhenpiania hominis
GCF_039538765.1	Zhihengliuella alba
GCF_015751895.1	Zhihengliuella flava
GCF_004217565.1	Zhihengliuella halotolerans
GCF_014651715.1	Zhihengliuella salsuginis
GCF_001586255.1	Zhongshania aliphaticivorans
GCF_014898265.1	Zhongshania antarctica
GCF_027257955.1	Zhongshania aquatica
GCF_019312595.1	Zhongshania aquimaris
GCF_040892595.1	Zhongshania arctica
GCF_039539625.1	Zhongshania borealis
GCF_040892635.1	Zhongshania guokunii
GCF_002915595.1	Zhongshania marina
GCF_000511935.2	Zhouia amylolytica AD3
GCF_022760175.1	Zhouia spongiae
GCF_039539325.1	Zobellella aerophila
GCF_002407485.1	Zobellella denitrificans
GCF_003012775.1	Zobellella endophytica
GCF_016746085.1	Zobellella iuensis
GCF_003075035.1	Zobellella maritima
GCF_003012795.1	Zobellella taiwanensis
GCF_029323795.1	Zobellia alginiliquefaciens
GCF_009725985.1	Zobellia amurskyensis
GCF_018603515.1	Zobellia barbeyronii
GCF_000973105.1	Zobellia galactanivorans
GCF_030553095.1	Zobellia laminariae
GCF_015330125.1	Zobellia nedashkovskayae
GCF_015330165.1	Zobellia roscoffensis
GCF_044597075.1	Zobellia russellii
GCF_900156625.1	Zobellia uliginosa
GCF_014385095.1	Zongyangia hominis
GCF_012927165.1	Zoogloea dura
GCF_008107625.1	Zoogloea oleivorans
GCF_030161255.1	Zoogloea oryzae
GCF_006539865.1	Zoogloea ramigera
GCF_018263875.1	Zooshikella ganghwensis
GCF_018837975.1	Zooshikella harenae
GCF_011745665.1	Zophobihabitans entericus
GCF_002094855.1	Zunongwangia atlantica 22II14-10F7
GCF_030409505.1	Zunongwangia endophytica
GCF_900112105.1	Zunongwangia mangrovi
GCF_023499215.1	Zunongwangia pacifica
GCF_000023465.1	Zunongwangia profunda SM-A87
GCF_019923725.1	Zwartia hollandica
GCF_030410395.1	Zwartia panacis
GCF_030410375.1	Zwartia vadi
GCF_003610015.1	Zymobacter palmae
GCF_000498655.1	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023
